currentConfirmedCount,provinceName,province_confirmedCount,province_curedCount,province_suspectedCount,updateTime
,云南省,5,0,0,2020-01-24
,内蒙古自治区,2,0,0,2020-01-24
,北京市,36,1,0,2020-01-24
,吉林省,3,0,0,2020-01-24
,四川省,15,0,0,2020-01-24
,宁夏回族自治区,2,0,0,2020-01-24
,安徽省,15,0,0,2020-01-24
,山东省,15,0,0,2020-01-24
,山西省,1,0,0,2020-01-24
,广东省,53,2,0,2020-01-24
,广西壮族自治区,13,0,0,2020-01-24
,江苏省,9,0,0,2020-01-24
,江西省,7,0,0,2020-01-24
,河北省,2,0,0,2020-01-24
,河南省,9,0,0,2020-01-24
,浙江省,43,1,0,2020-01-24
,海南省,8,0,0,2020-01-24
,湖北省,549,31,0,2020-01-24
,湖南省,24,0,0,2020-01-24
,甘肃省,2,0,0,2020-01-24
,福建省,10,0,2,2020-01-24
,贵州省,3,0,0,2020-01-24
,辽宁省,4,0,0,2020-01-24
,重庆市,27,0,0,2020-01-24
,陕西省,5,0,0,2020-01-24
,黑龙江省,4,0,0,2020-01-24
,云南省,11,0,0,2020-01-25
,内蒙古自治区,7,0,0,2020-01-25
,北京市,41,3,0,2020-01-25
,吉林省,4,0,0,2020-01-25
,四川省,28,0,0,2020-01-25
,宁夏回族自治区,3,0,0,2020-01-25
,安徽省,39,0,0,2020-01-25
,山东省,27,1,0,2020-01-25
,山西省,6,0,0,2020-01-25
,广东省,78,2,0,2020-01-25
,广西壮族自治区,23,0,0,2020-01-25
,新疆维吾尔自治区,3,0,0,2020-01-25
,江苏省,18,1,0,2020-01-25
,江西省,18,0,0,2020-01-25
,河北省,8,0,0,2020-01-25
,河南省,32,0,0,2020-01-25
,浙江省,62,1,0,2020-01-25
,海南省,19,0,0,2020-01-25
,湖北省,730,32,0,2020-01-25
,湖南省,43,0,0,2020-01-25
,甘肃省,4,0,0,2020-01-25
,福建省,18,0,20,2020-01-25
,贵州省,4,0,0,2020-01-25
,辽宁省,16,0,0,2020-01-25
,重庆市,57,0,0,2020-01-25
,陕西省,15,0,0,2020-01-25
,青海省,1,0,0,2020-01-25
,黑龙江省,9,0,0,2020-01-25
,云南省,16,0,0,2020-01-26
,内蒙古自治区,7,0,0,2020-01-26
,北京市,68,2,0,2020-01-26
,四川省,44,1,0,2020-01-26
,天津市,14,0,0,2020-01-26
,宁夏回族自治区,4,0,1,2020-01-26
,安徽省,60,0,0,2020-01-26
,山东省,46,0,0,2020-01-26
,山西省,9,0,0,2020-01-26
,广东省,111,2,0,2020-01-26
,广西壮族自治区,36,0,0,2020-01-26
,新疆维吾尔自治区,4,0,0,2020-01-26
,江苏省,33,1,0,2020-01-26
,江西省,36,0,0,2020-01-26
,河北省,13,0,0,2020-01-26
,河南省,83,0,0,2020-01-26
,浙江省,104,1,0,2020-01-26
,海南省,22,0,0,2020-01-26
,湖北省,1058,42,0,2020-01-26
,湖南省,69,0,0,2020-01-26
,澳门,2,0,0,2020-01-26
,甘肃省,7,0,0,2020-01-26
,福建省,35,0,0,2020-01-26
,贵州省,5,0,0,2020-01-26
,辽宁省,21,0,0,2020-01-26
,重庆市,75,0,0,2020-01-26
,陕西省,22,0,0,2020-01-26
,黑龙江省,15,0,0,2020-01-26
,上海市,53,3,0,2020-01-27
,云南省,26,0,0,2020-01-27
,内蒙古自治区,11,0,0,2020-01-27
,北京市,80,2,0,2020-01-27
,吉林省,6,0,0,2020-01-27
,四川省,69,0,0,2020-01-27
,天津市,22,0,0,2020-01-27
,宁夏回族自治区,7,0,0,2020-01-27
,安徽省,70,0,0,2020-01-27
,山东省,75,1,0,2020-01-27
,山西省,13,0,0,2020-01-27
,广东省,151,3,0,2020-01-27
,广西壮族自治区,46,0,0,2020-01-27
,新疆维吾尔自治区,5,0,0,2020-01-27
,江苏省,47,1,0,2020-01-27
,江西省,48,1,0,2020-01-27
,河北省,18,0,0,2020-01-27
,河南省,128,0,0,2020-01-27
