city_name,date,inOrOUt_city,inOrout,inOrout_city_province_name,value
遵义市,20200101,贵阳市,move_in,贵州省,24.18
遵义市,20200101,重庆市,move_in,重庆市,13.65
遵义市,20200101,泸州市,move_in,四川省,11.23
遵义市,20200101,毕节市,move_in,贵州省,9.11
遵义市,20200101,铜仁市,move_in,贵州省,5.89
遵义市,20200101,黔南布依族苗族自治州,move_in,贵州省,4.08
遵义市,20200101,温州市,move_in,浙江省,2.06
遵义市,20200101,黔东南苗族侗族自治州,move_in,贵州省,1.95
遵义市,20200101,广州市,move_in,广东省,1.4
遵义市,20200101,成都市,move_in,四川省,1.35
遵义市,20200101,安顺市,move_in,贵州省,1.35
遵义市,20200101,东莞市,move_in,广东省,1.28
遵义市,20200101,宁波市,move_in,浙江省,1.13
遵义市,20200101,金华市,move_in,浙江省,0.99
遵义市,20200101,贵阳市,move_out,贵州省,27.25
遵义市,20200101,重庆市,move_out,重庆市,16.49
遵义市,20200101,泸州市,move_out,四川省,13.61
遵义市,20200101,毕节市,move_out,贵州省,10.42
遵义市,20200101,铜仁市,move_out,贵州省,6.52
遵义市,20200101,黔南布依族苗族自治州,move_out,贵州省,4.76
遵义市,20200101,六盘水市,move_in,贵州省,0.96
遵义市,20200101,泉州市,move_in,福建省,0.87
遵义市,20200101,佛山市,move_in,广东省,0.86
遵义市,20200101,黔西南布依族苗族自治州,move_in,贵州省,0.78
遵义市,20200101,深圳市,move_in,广东省,0.77
遵义市,20200101,上海市,move_in,上海市,0.6
遵义市,20200101,厦门市,move_in,福建省,0.45
遵义市,20200101,中山市,move_in,广东省,0.45
遵义市,20200101,台州市,move_in,浙江省,0.44
遵义市,20200101,昆明市,move_in,云南省,0.42
遵义市,20200101,福州市,move_in,福建省,0.41
遵义市,20200101,黔东南苗族侗族自治州,move_out,贵州省,2.6
遵义市,20200101,安顺市,move_out,贵州省,1.69
遵义市,20200101,成都市,move_out,四川省,1.55
遵义市,20200101,六盘水市,move_out,贵州省,1.12
遵义市,20200101,黔西南布依族苗族自治州,move_out,贵州省,0.98
遵义市,20200101,广州市,move_out,广东省,0.6
遵义市,20200101,昆明市,move_out,云南省,0.58
遵义市,20200101,东莞市,move_out,广东省,0.43
遵义市,20200101,深圳市,move_out,广东省,0.38
遵义市,20200101,北京市,move_out,北京市,0.3
遵义市,20200101,嘉兴市,move_in,浙江省,0.4
遵义市,20200101,杭州市,move_in,浙江省,0.39
遵义市,20200101,苏州市,move_in,江苏省,0.37
遵义市,20200101,惠州市,move_in,广东省,0.36
遵义市,20200101,绍兴市,move_in,浙江省,0.36
遵义市,20200101,北京市,move_in,北京市,0.35
遵义市,20200101,长沙市,move_in,湖南省,0.29
遵义市,20200101,武汉市,move_in,湖北省,0.28
遵义市,20200101,西安市,move_in,陕西省,0.27
遵义市,20200101,昭通市,move_in,云南省,0.25
遵义市,20200101,上海市,move_out,上海市,0.27
遵义市,20200101,宜宾市,move_out,四川省,0.26
遵义市,20200101,内江市,move_out,四川省,0.26
遵义市,20200101,长沙市,move_out,湖南省,0.25
遵义市,20200101,温州市,move_out,浙江省,0.24
遵义市,20200101,佛山市,move_out,广东省,0.24
遵义市,20200101,广安市,move_out,四川省,0.21
遵义市,20200101,怀化市,move_out,湖南省,0.21
遵义市,20200101,昭通市,move_out,云南省,0.2
遵义市,20200101,武汉市,move_out,湖北省,0.2
遵义市,20200101,宜宾市,move_in,四川省,0.25
遵义市,20200101,天津市,move_in,天津市,0.23
遵义市,20200101,南宁市,move_in,广西壮族自治区,0.2
遵义市,20200101,广安市,move_in,四川省,0.19
遵义市,20200101,江门市,move_in,广东省,0.19
遵义市,20200101,内江市,move_in,四川省,0.18
遵义市,20200101,莆田市,move_in,福建省,0.18
遵义市,20200101,汕头市,move_in,广东省,0.17
遵义市,20200101,桂林市,move_in,广西壮族自治区,0.17
遵义市,20200101,丽水市,move_in,浙江省,0.16
遵义市,20200101,乐山市,move_in,四川省,0.15
遵义市,20200101,自贡市,move_out,四川省,0.18
遵义市,20200101,达州市,move_out,四川省,0.18
遵义市,20200101,湘西土家族苗族自治州,move_out,湖南省,0.17
遵义市,20200101,西安市,move_out,陕西省,0.17
遵义市,20200101,南充市,move_out,四川省,0.16
遵义市,20200101,泉州市,move_out,福建省,0.16
遵义市,20200101,南宁市,move_out,广西壮族自治区,0.15
遵义市,20200101,邵阳市,move_out,湖南省,0.14
遵义市,20200101,绵阳市,move_out,四川省,0.13
遵义市,20200101,厦门市,move_out,福建省,0.13
遵义市,20200101,乐山市,move_out,四川省,0.13
遵义市,20200101,自贡市,move_in,四川省,0.15
遵义市,20200101,哈尔滨市,move_in,黑龙江省,0.14
遵义市,20200101,湖州市,move_in,浙江省,0.14
遵义市,20200101,曲靖市,move_in,云南省,0.13
遵义市,20200101,肇庆市,move_in,广东省,0.13
遵义市,20200101,南昌市,move_in,江西省,0.13
遵义市,20200101,郑州市,move_in,河南省,0.13
遵义市,20200101,漳州市,move_in,福建省,0.12
