cityName,city_confirmedCount,city_curedCount,currentConfirmedCount,provinceName,city_suspectedCount,updateTime
武汉,32994.0,1923.0,30035.0,湖北省,0.0,2020-02-13
孝感,2874.0,209.0,2616.0,湖北省,0.0,2020-02-13
黄冈,2662.0,427.0,2177.0,湖北省,0.0,2020-02-13
荆州,1431.0,104.0,1304.0,湖北省,0.0,2020-02-13
随州,1160.0,62.0,1084.0,湖北省,0.0,2020-02-13
襄阳,1101.0,66.0,1022.0,湖北省,0.0,2020-02-13
鄂州,1065.0,97.0,938.0,湖北省,0.0,2020-02-13
荆门,927.0,93.0,810.0,湖北省,0.0,2020-02-13
黄石,911.0,115.0,787.0,湖北省,0.0,2020-02-13
宜昌,810.0,72.0,727.0,湖北省,0.0,2020-02-13
十堰,562.0,81.0,480.0,湖北省,0.0,2020-02-13
咸宁,534.0,85.0,442.0,湖北省,0.0,2020-02-13
仙桃,480.0,48.0,416.0,湖北省,0.0,2020-02-13
天门,362.0,13.0,339.0,湖北省,0.0,2020-02-13
恩施,229.0,48.0,177.0,湖北省,0.0,2020-02-13
潜江,94.0,8.0,81.0,湖北省,0.0,2020-02-13
深圳,391.0,94.0,297.0,广东省,0.0,2020-02-13
广州,327.0,78.0,249.0,广东省,0.0,2020-02-13
佛山,81.0,17.0,64.0,广东省,0.0,2020-02-13
东莞,70.0,7.0,63.0,广东省,0.0,2020-02-13
珠海,89.0,27.0,62.0,广东省,0.0,2020-02-13
中山,64.0,22.0,42.0,广东省,0.0,2020-02-13
惠州,55.0,14.0,41.0,广东省,0.0,2020-02-13
江门,22.0,4.0,18.0,广东省,0.0,2020-02-13
汕头,25.0,8.0,17.0,广东省,0.0,2020-02-13
茂名,13.0,2.0,11.0,广东省,0.0,2020-02-13
湛江,21.0,11.0,10.0,广东省,0.0,2020-02-13
肇庆,16.0,7.0,8.0,广东省,0.0,2020-02-13
阳江,13.0,5.0,8.0,广东省,0.0,2020-02-13
梅州,13.0,5.0,8.0,广东省,0.0,2020-02-13
清远,12.0,5.0,7.0,广东省,0.0,2020-02-13
韶关,8.0,3.0,5.0,广东省,0.0,2020-02-13
揭阳,8.0,3.0,5.0,广东省,0.0,2020-02-13
潮州,5.0,0.0,5.0,广东省,0.0,2020-02-13
汕尾,5.0,1.0,4.0,广东省,0.0,2020-02-13
河源,3.0,1.0,2.0,广东省,0.0,2020-02-13
信阳,240.0,49.0,191.0,河南省,0.0,2020-02-13
南阳,145.0,38.0,105.0,河南省,0.0,2020-02-13
驻马店,134.0,42.0,92.0,河南省,0.0,2020-02-13
郑州,141.0,54.0,87.0,河南省,0.0,2020-02-13
商丘,87.0,25.0,60.0,河南省,0.0,2020-02-13
周口,68.0,20.0,48.0,河南省,0.0,2020-02-13
新乡,54.0,7.0,45.0,河南省,0.0,2020-02-13
安阳,50.0,13.0,37.0,河南省,0.0,2020-02-13
平顶山,56.0,19.0,36.0,河南省,0.0,2020-02-13
