country_confirmedCount,country_curedCount,country_suspectedCount,updateTime
866,35,2,2020-01-24
1324,40,20,2020-01-25
2019,49,1,2020-01-26
2838,59,0,2020-01-27
4601,73,0,2020-01-28
6067,119,0,2020-01-29
8122,141,0,2020-01-30
9782,223,0,2020-01-31
11870,277,0,2020-02-01
14458,442,1,2020-02-02
17307,528,0,2020-02-03
20492,719,2,2020-02-04
24358,1024,2,2020-02-05
28087,1371,0,2020-02-06
31194,1748,166,2020-02-07
34602,2377,0,2020-02-08
37213,2897,23941,2020-02-09
40177,3546,0,2020-02-10
42611,4294,0,2020-02-11
44688,5067,0,2020-02-12
63741,6897,0,2020-02-13
