province_confirmedCount,province_curedCount,currentConfirmedCount,provinceName,province_suspectedCount,updateTime
48206,3459,43437,湖北省,0,2020-02-13
1241,314,925,广东省,0,2020-02-13
1169,296,863,河南省,0,2020-02-13
1145,360,785,浙江省,0,2020-02-13
910,157,748,安徽省,0,2020-02-13
872,170,701,江西省,0,2020-02-13
968,339,627,湖南省,0,2020-02-13
570,139,431,江苏省,0,2020-02-13
509,105,402,山东省,0,2020-02-13
525,128,394,重庆市,0,2020-02-13
395,33,353,黑龙江省,0,2020-02-13
451,104,346,四川省,0,2020-02-13
366,69,294,北京市,0,2020-02-13
315,62,252,上海市,0,2020-02-13
279,57,222,福建省,0,2020-02-13
265,68,194,河北省,0,2020-02-13
222,33,187,广西壮族自治区,0,2020-02-13
229,46,183,陕西省,0,2020-02-13
156,27,129,云南省,0,2020-02-13
157,30,123,海南省,0,2020-02-13
135,27,107,贵州省,0,2020-02-13
117,22,94,辽宁省,0,2020-02-13
117,21,93,天津市,0,2020-02-13
126,33,93,山西省,0,2020-02-13
84,24,59,吉林省,0,2020-02-13
63,6,56,新疆维吾尔自治区,0,2020-02-13
61,6,55,内蒙古自治区,0,2020-02-13
53,1,51,香港,0,2020-02-13
90,39,49,甘肃省,0,2020-02-13
64,24,40,宁夏回族自治区,0,2020-02-13
18,1,17,台湾,0,2020-02-13
10,3,7,澳门,0,2020-02-13
18,11,7,青海省,0,2020-02-13
1,1,0,西藏自治区,0,2020-02-13
