2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,cityName,cityName-en,provinceName
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,9.0,10.0,10.0,10.0,11.0,12.0,13.0,13.0,13.0,七台河,Qitaihe,黑龙江省
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,万宁,Wanning,海南省
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,9.0,10.0,12.0,12.0,12.0,12.0,15.0,18.0,16.0,17.0,17.0,16.0,23.0,25.0,31.0,31.0,33.0,39.0,40.0,43.0,44.0,44.0,51.0,53.0,三亚,Sanya,海南省
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,12.0,12.0,三明,Sanming,福建省
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,三门峡,Sanmenxia,河南省
0.0,1.0,2.0,4.0,5.0,6.0,12.0,10.0,11.0,11.0,11.0,13.0,16.0,26.0,31.0,42.0,45.0,49.0,53.0,58.0,63.0,91.0,125.0,141.0,162.0,178.0,188.0,202.0,213.0,230.0,252.0,264.0,271.0,275.0,279.0,282.0,290.0,293.0,上海,Shanghai,上海市
,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,12.0,13.0,15.0,17.0,18.0,20.0,31.0,35.0,39.0,47.0,55.0,64.0,75.0,88.0,90.0,97.0,101.0,101.0,109.0,111.0,111.0,上饶,Shangrao,江西省
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,东方,Dongfang,海南省
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,8.0,8.0,13.0,20.0,25.0,25.0,27.0,28.0,32.0,32.0,37.0,41.0,41.0,44.0,56.0,64.0,67.0,东莞,Dongguan,广东省
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,,中卫,Zhongwei,宁夏回族自治区
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,11.0,14.0,14.0,16.0,21.0,22.0,26.0,31.0,34.0,39.0,40.0,40.0,42.0,43.0,46.0,49.0,51.0,53.0,55.0,55.0,58.0,58.0,59.0,中山,Zhongshan,广东省
