2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,cityName-ch,cityName,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,,,1.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,13.0,14.0,15.0,15.0,16.0,16.0,16.0,七台河,Qitaihe,2222.302032448614,2121.2717876192482,2198.653465930539,2170.163941639901,2357.9791497436963
2.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,万宁,Wanning,1357.183272486674,1495.7021032281014,1366.4054909863603,1462.1587473866143,1291.0788083669572
2.0,6.0,8.0,11.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,22.0,30.0,34.0,37.0,41.0,43.0,46.0,54.0,54.0,54.0,54.0,三亚,Sanya,1441.9405479889704,1576.3562319653802,1453.7603151383312,1540.6756667265363,1365.4908219107522
0.0,1.0,4.0,4.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,三明,Sanming,574.9576156611971,726.1626182201387,538.3425557998443,734.6561637916938,695.5621608864578
1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,三门峡,Sanmenxia,553.8110916444385,404.1032329452974,590.5200935485465,394.2730731514625,500.8161055446084
,,,53.0,66.0,96.0,112.0,135.0,169.0,182.0,203.0,219.0,243.0,257.0,277.0,286.0,293.0,299.0,303.0,311.0,315.0,318.0,326.0,上海,Shanghai,689.9446181928546,722.6584113096238,638.1840077916016,771.6310572025357,889.5220036056145
,2.0,6.0,6.0,7.0,9.0,11.0,12.0,16.0,19.0,32.0,50.0,69.0,78.0,86.0,92.0,98.0,103.0,111.0,116.0,119.0,122.0,123.0,上饶,Shangrao,421.3796981679112,546.823033187774,371.6133037632992,570.3654419008533,592.9711627578159
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,东方,Dongfang,1389.209335430093,1516.2210763629203,1405.5400912000453,1477.4481662949322,1297.3141739039017
,1.0,2.0,2.0,7.0,7.0,11.0,16.0,21.0,27.0,31.0,37.0,44.0,47.0,53.0,56.0,58.0,60.0,62.0,67.0,70.0,73.0,81.0,东莞,Dongguan,830.6558723863212,984.1407795094728,827.4401892784821,962.2962052337776,821.806605875955
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,中卫,Zhongwei,1144.4676699997476,1011.1571934258836,1189.0609468787782,988.3768376195281,1028.960187118581
2.0,2.0,2.0,5.0,6.0,13.0,18.0,18.0,18.0,21.0,25.0,31.0,36.0,44.0,46.0,46.0,51.0,56.0,58.0,62.0,64.0,64.0,65.0,中山,Zhongshan,891.1969916200428,1042.9165312641535,889.9607126154524,1019.185206479323,872.9945825560183
,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,临夏,Linxia,1178.8707027307103,1071.1378250750413,1229.4390084770087,1036.1187241205334,1026.4097178175434
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,临汾,Linfen,669.8024534057371,512.29184868301,699.7844956650894,514.0956993874045,641.1711823170058
2.0,3.0,7.0,7.0,8.0,16.0,16.0,23.0,23.0,24.0,25.0,28.0,30.0,32.0,35.0,40.0,40.0,42.0,44.0,45.0,45.0,47.0,47.0,临沂,Linyi,628.8375456610705,539.1407372474619,606.3098366924448,591.8705717592959,775.4306620604973
,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,临沧,Lincang,1586.8485939410532,1623.3263531889975,1632.6286719545858,1568.6135634190564,1399.0674786932454
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,临高,Lingao,1263.7911880184124,1395.730910756145,1277.5179706688718,1359.1625282833238,1182.785891400984
,,1.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,丹东,Dandong,1402.7979169669527,1309.1938091849122,1377.5414758114664,1359.9657799529243,1546.4335313604113
