updateTime,country_confirmedCount,country_curedCount,country_suspectedCount
2020-01-22,866,35,2
2020-01-23,1324,40,20
2020-01-24,2019,49,1
2020-01-25,2838,59,0
2020-01-26,4601,73,0
2020-01-27,6067,119,0
2020-01-28,8122,141,0
2020-01-29,9782,223,0
2020-01-30,11841,275,0
2020-01-31,14458,442,1
2020-02-01,17307,528,0
2020-02-02,20492,719,2
2020-02-03,24358,1024,2
2020-02-04,28087,1371,0
2020-02-05,31194,1748,166
2020-02-06,34602,2377,0
2020-02-07,37213,2897,23941
2020-02-08,40177,3546,0
2020-02-09,42611,4294,0
2020-02-10,44688,5067,0
2020-02-11,59826,6219,0
2020-02-12,63757,7266,0
2020-02-13,66496,8487,0
2020-02-14,68419,9707,0
2020-02-15,70536,11264,0
2020-02-16,72438,12995,0
2020-02-17,74187,14927,0
2020-02-18,74560,16700,0
