country_confirmedCount,updateTime,country_curedCount
886.0,2020-01-23,35.0
1357.0,2020-01-24,40.0
2062.0,2020-01-25,49.0
2838.0,2020-01-26,59.0
4607.0,2020-01-27,73.0
6073.0,2020-01-28,119.0
8122.0,2020-01-29,141.0
9782.0,2020-01-30,223.0
11870.0,2020-01-31,277.0
14458.0,2020-02-01,442.0
17308.0,2020-02-02,528.0
20492.0,2020-02-03,719.0
24393.0,2020-02-04,1025.0
28088.0,2020-02-05,1371.0
31213.0,2020-02-06,1751.0
34621.0,2020-02-07,2380.0
37232.0,2020-02-08,2900.0
40196.0,2020-02-09,3549.0
42670.0,2020-02-10,4299.0
44688.0,2020-02-11,5067.0
59826.0,2020-02-12,6219.0
63866.0,2020-02-13,7317.0
66497.0,2020-02-14,8488.0
68508.0,2020-02-15,9754.0
70555.0,2020-02-16,11278.0
72439.0,2020-02-17,12996.0
74188.0,2020-02-18,14928.0
75005.0,2020-02-19,16717.0
75893.0,2020-02-20,18674.0
76291.0,2020-02-21,21061.0
76936.0,2020-02-22,23172.0
77150.0,2020-02-23,24978.0
77660.0,2020-02-24,27632.0
78064.0,2020-02-25,30042.0
78497.0,2020-02-26,32879.0
78824.0,2020-02-27,36271.0
79251.0,2020-02-28,39274.0
