updateTime,country_confirmedCount,country_curedCount,country_suspectedCount
2020-01-24,866,35,2
2020-01-25,1324,40,20
2020-01-26,2019,49,1
2020-01-27,2838,59,0
2020-01-28,4601,73,0
2020-01-29,6067,119,0
2020-01-30,8122,141,0
2020-01-31,9782,223,0
2020-02-01,11870,277,0
2020-02-02,14458,442,1
2020-02-03,17307,528,0
2020-02-04,20492,719,2
2020-02-05,24358,1024,2
2020-02-06,28087,1371,0
2020-02-07,31194,1748,166
2020-02-08,34602,2377,0
2020-02-09,37213,2897,23941
2020-02-10,40177,3546,0
2020-02-11,42611,4294,0
2020-02-12,44688,5067,0
2020-02-13,59826,6219,0
2020-02-14,63757,7266,0
