start_fit_day,country,a,b,rss
2020-02-08, France,-0.040447936093073546, -0.8090924273431631, 0.3198211165555641
2020-02-11, Germany, -0.04670942942785474, -0.7179266731522782, 0.02521497521835825
2020-02-09, Italy,-0.05705519280685816, -0.3228413437152942, 0.00526651870100292
2020-02-14, Korea South,-0.08925895971946984, -0.5447067410096778, 0.019157283022501193
2020-03-03, Netherlands, -0.07101739265181956, -0.5496027331278601, 0.004203990258042856
2020-02-26, Spain, -0.07636397901302326, -0.147865430710365, 0.008784598005782351
2020-03-11, Switzerland,-0.10647627936533169, -0.8693711857818004, 0.007550243703899673
2020-02-25, United Kingdom,-0.04241745251127382, -0.7448334058226693, 0.08411781283467046
2020-02-05, US, -0.028584943677396835, -0.9296366319362618, 0.06362283308724748
2020-02-24, Iran, -0.07391430948173357, -0.5289615692370115, 0.08156788496482026
2020-03-07, Portugal, -0.08910648660956214, -0.37879015496346136, 0.018240384567440704
2020-03-06, Austria,-0.11689551184436225, -0.32780115202195703, 0.005493721082846514
2020-03-11, Australia,-0.1277250489125472, -0.6191872814738291, 0.045267297435770626
2020-02-14, Belgium,-0.04091850375344585, -0.6648818055728861, 0.011225937814638098
2020-03-11, Canada,-0.06832838479477789, -0.7953749448956083, 0.09643915607220488
2020-03-07, Norway,-0.09309799768326588, -0.9572591041723187, 0.013564763088075749
2020-02-27, Denmark,-0.05770340111223784, -0.4816808450035742, 0.0010200030979979902
2020-03-01, Russia,-0.02347644728008258, -0.9951151437463603, 0.004438514992562981
2020-03-02,Brazil, -0.044985554333516364, -0.5767686546450412, 0.08157806157894187
