cityName-en,exp_aic,powerlaw_aic,provinceName-en,2020-03-01
Qitaihe,-13.950285286068846,-15.286509396972688,Heilongjiang,17.0
Wanning,0.8924985541058884,-0.20199076695763696,Hainan,13.0
Sanya,4.358593043629765,4.368811957771638,Hainan,54.0
Sanming,-15.395375099526388,-15.338258149499323,Fujian,14.0
Shanghai,1.685663647056161,-6.148701726140003,Shanghai,337.0
Shangrao,0.22167753617989783,2.887714903098883,Jiangxi,123.0
Dongfang,-125.77574605116011,-123.98042384506498,Hainan,3.0
Dongguan,1.4891325609122759,-1.1256791667251975,Guangdong,99.0
Zhongwei,-inf,-inf,Ningxiahuizuzizhi,4.0
Zhongshan,-0.6858862974355576,0.7418101921609773,Guangdong,66.0
Linxiahuizuzizhizhou,-129.13477226779636,-131.91753912905108,Gansu,3.0
Linyi,0.8793144964466156,0.8724968455849881,Shandong,49.0
Lingao,-10.774589812996277,-14.292129152851272,Hainan,6.0
Dandong,-2.5766074281274016,0.14521879097834078,Liaoning,8.0
Lishui,4.771964335998794,4.387448962411707,Zhejiang,17.0
Lijiang,-inf,-inf,Yunnan,7.0
Wulanchabu,-inf,-69.6791612912076,Neimengguzizhi,3.0
Wuhai,-inf,-inf,Neimengguzizhi,2.0
Wulumuqi,1.0971333825969913,0.2772125386518146,Xinjiangweiwuerzizhi,23.0
Ledonglizuzizhi,-inf,-inf,Hainan,2.0
Leshan,-inf,-inf,Sichuan,3.0
Jiujiang,7.62811645612867,5.050977165053614,Jiangxi,118.0
Wujiaqu,-inf,-inf,Xinjiangweiwuerzizhi,2.0
Bozhou,-4.8164308098680015,-0.9219822204353024,Anhui,108.0
Xiantao,-4.3991147997884275,3.0490510883242705,Hubei,575.0
Yilihasakezizhizhou,-9.585590489394312,-9.748613634251944,Xinjiangweiwuerzizhi,18.0
Foshan,8.641950298119562,8.841897478844809,Guangdong,84.0
Jiamusi,-9.271225401571096,-9.13918578679849,Heilongjiang,15.0
Baotinglizumiaozuzizhi,-inf,-inf,Hainan,3.0
Baoding,8.180139520780367,8.51263089118242,Hebei,32.0
Baoshan,-130.49083935329614,-128.11515250850405,Yunnan,9.0
Xinyang,5.02368785791105,7.162857551922785,Henan,274.0
Danzhou,-0.12402397323328407,0.3852353527244444,Hainan,15.0
Gongzhuling,5.092720277915459,4.966526322948403,Jilin,6.0
Luan,8.825403818257909,6.20958187482356,Anhui,69.0
Liupanshui,-130.93712645592458,-133.18498664922936,Guizhou,10.0
Lanzhou,4.757409588124884,4.708562307825717,Gansu,36.0
Neijiang,-1.6273263479114441,-1.694528206310475,Sichuan,22.0
Liangshanyizuzizhizhou,-0.3261291058892303,-0.2790966572284971,Sichuan,13.0
Baotou,-0.6297089378373292,-1.1740525496085792,Neimengguzizhi,11.0
Beijing,19.337558487999658,13.365574986240249,Beijing,414.0
Beihai,-0.05336429229174888,-0.32947517617255306,Guangxizhuangzuzizhi,44.0
Shiyan,-5.69344210076587,0.4720929984720582,Hubei,672.0
Nanjing,2.1614104491199533,5.246900866273681,Jiangsu,93.0
Nanchong,11.857804831002271,10.813867766775447,Sichuan,39.0
Nanning,9.629044492559588,8.954887424841418,Guangxizhuangzuzizhi,55.0
Nanping,0.32725043158275235,0.41515276146616864,Fujian,20.0
Nanchang,7.866074803260639,7.0085000786626575,Jiangxi,230.0
Nantong,29.452659444592932,29.79415777683905,Jiangsu,40.0
Nanyang,18.723450679132025,15.261222083813712,Henan,156.0
Xiamen,-1.2215235775310647,-1.1945603705016183,Fujian,35.0
Shuangyashan,11.076512266218371,10.541930046727485,Heilongjiang,52.0
Taizhou,-6.630206613101328,-4.998749784810214,Zhejiang,146.0
Taizhou,-6.630206613101328,-4.998749784810214,Jiangsu,37.0
Taizhou,2.318501056812719,1.4486482246961585,Zhejiang,146.0
Taizhou,2.318501056812719,1.4486482246961585,Jiangsu,37.0
Taiwan,2.2906528608308014,2.154973440978734,Taiwan,40.0
Hefei,-5.282092091110644,-2.8932352214625987,Anhui,174.0
Jian,-8.030519973475718,-8.378327951540014,Jiangxi,22.0
Jilin,0.3786562413032758,1.0649595021276057,Jilin,5.0
Tulufan,-inf,-inf,Xinjiangweiwuerzizhi,3.0
Lvliang,-inf,-inf,Shanxi,6.0
Wuzhong,4.710821842651602,5.071618436988246,Ningxiahuizuzizhi,28.0
Zhoukou,5.436660645016905,4.670602943758706,Henan,76.0
Hulunbeier,-2.4703828449524203,-4.046327887993026,Neimengguzizhi,7.0
Huhehaote,2.8926834566907673,2.607289211567759,Neimengguzizhi,7.0
Xianning,28.364842244738973,27.972915981721094,Hubei,836.0
Xianyang,3.051709225101909,3.6689320355660064,Shanxi,17.0
Haerbin,-0.7325358010649113,2.7492435354475417,Heilongjiang,198.0
Tangshan,7.230587078870895,8.187241021247507,Hebei,58.0
Shangqiu,11.422255916912528,10.33150084353907,Henan,91.0
Shangluo,4.723802140045848,4.4430951794317455,Shanxi,7.0
Jiaxing,1.4856592622859046,1.9077785524321391,Zhejiang,45.0
Siping,11.967111133486496,10.405190847163018,Jilin,15.0
Guyuan,-inf,-inf,Ningxiahuizuzizhi,5.0
Datong,-1.7661428853549865,-2.0136032437036477,Shanxi,12.0
Daqing,5.792995424834705,5.109142917998718,Heilongjiang,26.0
Dalibaizuzizhizhou,0.4063246528029806,0.316332178074345,Yunnan,13.0
Dalian,-3.6444920108044543,-4.526749413205038,Liaoning,19.0
Tianshui,5.773179064588493,5.376188032923403,Gansu,12.0
Tianjin,11.647627745020388,8.185806195007418,Tianjin,136.0
Tianmen,30.136317538685077,34.82506136387687,Hubei,496.0
Taiyuan,5.74077964036615,3.3700637794890667,Shanxi,20.0
Weihai,-4.080159157325467,-3.9526618159629323,Shandong,38.0
Loudi,-5.105570235092578,-3.947257211083502,Hunan,76.0
Xiaogan,20.914928469719186,28.11537182547238,Hubei,3518.0
Ningde,1.518553591140312,1.0618387587003837,Fujian,26.0
Ningbo,2.808281685963157,-2.562358411385882,Zhejiang,157.0
Anqing,2.312533742081713,2.7583155193170312,Anhui,83.0
Ankang,-6.846243520224266,-7.5001392692888755,Shanxi,26.0
Anyang,1.5662624952454336,-0.9274626040780932,Henan,53.0
Anshun,-132.0878547457317,-127.30016137718697,Guizhou,4.0
Dingan,-inf,-inf,Hainan,3.0
Dingxi,4.043506407690548,4.677686220416491,Gansu,9.0
Yibin,-14.288497065740698,-13.42248330864348,Sichuan,12.0
Yichang,8.015567323332336,13.047803124530072,Hubei,931.0
Yichun,3.548081670290466,5.858965616848274,Heilongjiang,1.0
Yichun,3.548081670290466,5.858965616848274,Jiangxi,106.0
Baoji,-2.9547386493183034,-2.556709862888854,Shanxi,13.0
Xuancheng,-134.0347530371599,-134.64972243665582,Anhui,6.0
Suzhou,6.1709610505865635,5.429786710382602,Anhui,41.0
Suzhou,6.1709610505865635,5.429786710382602,Jiangsu,87.0
Suzhou,-3.11410142361625,-1.6956366007005834,Anhui,41.0
Suzhou,-3.11410142361625,-1.6956366007005834,Jiangsu,87.0
Suqian,-7.659780526430146,-6.360278263836373,Jiangsu,13.0
Yueyang,7.999174346092997,9.205226890865616,Hunan,156.0
Bazhong,6.680370977316696,5.257335748695934,Sichuan,24.0
Bayannaoer,-2.084514354154328,-2.0828372158230573,Neimengguzizhi,8.0
Bayinguolengmengguzizhizhou,-128.7357395461807,-127.35152526845165,Xinjiangweiwuerzizhi,3.0
Changzhou,3.886164523913004,4.672663916415055,Jiangsu,51.0
Changde,7.665765047769736,6.519307494776155,Hunan,82.0
Pingliang,-7.240023884820814,-4.227791303335663,Gansu,9.0
Pingdingshan,-10.670534252373121,-11.067427539081846,Henan,58.0
Guangyuan,-126.98203198792758,-122.1525538087016,Sichuan,6.0
Guangan,4.200722887235751,4.029700015315348,Sichuan,30.0
Guangzhou,23.65841353189289,20.077444697213963,Guangdong,346.0
