cityName-ch,cityName,lat,lon,distance
北京,Beijing,39.92,116.46,1060.99616510963
上海,Shanghai,31.22,121.48,689.9446181928546
天津,Tianjin,39.13,117.2,990.9258191546812
重庆,Zhongqing,29.59,106.54,756.1844883759195
石家庄,Shijiazhuang,38.03,114.48,833.2155365731741
唐山,Tangshan,39.63,118.02,1065.538801385571
行唐,Xingtang,38.42,114.54,876.6129952638609
灵寿,Lingshou,38.31,114.38,864.1727549454268
束鹿,Shulu,37.94,115.18,826.9602466207372
晋县,Jinxian,38.03,115.03,835.6941685015264
藁城,Gaocheng,38.03,114.84,834.492485540592
高邑,Gaoyi,37.62,114.58,787.9548377297298
赵县,Zhaoxian,37.76,114.78,804.2658491979258
井陉,Jingxing,38.03,114.13,833.23328541239
获鹿,Huolu,38.08,114.03,839.0135133485368
新乐,Xinle,38.33,114.67,866.9983355512221
正定,Zhengding,38.13,114.56,844.481141351717
深泽,Shenze,38.2,115.2,855.8497337690876
无极,Wuji,38.16,114.96,849.5990679296198
赞皇,Zanhuang,37.65,114.35,790.9000451180453
元氏,Yuanshi,37.74,114.5,801.0717638261004
栾城,Luancheng,38.87,114.64,926.8043994742679
平山,Pingshan,38.2,114.24,851.9629876858971
邯郸,Handan,36.6,114.47,674.5257501714528
永年,Yongnian,36.77,114.5,693.4511776156363
曲周,Quzhou,36.78,114.92,696.6339177084128
馆陶,Guantao,36.47,115.4,667.648615081882
魏县,Weixian,36.37,114.94,651.4734161551736
成安,Chengan,36.43,114.68,656.3975144736411
大名,Daming,36.28,115.14,643.4932303401933
涉县,Shexian,36.57,113.67,673.6551150184523
鸡泽,Jize,36.95,113.85,714.4728629745285
丘县,Qiuxian,36.84,115.18,705.6118996206847
广平,Guangping,36.49,114.94,664.732923894371
肥乡,Feixiang,36.56,114.8,671.464463696418
临漳,Linzhang,36.35,114.62,647.2614945654649
磁县,Cixian,36.37,114.37,648.8637523980135
武安,Wuan,36.7,114.2,685.5354120138728
邢台,Xingtai,37.05,114.48,724.4716022482054
柏乡,Baixiang,37.49,114.68,773.8863040133108
宁普,Ningpu,37.62,114.9,789.4369208751496
隆尧,Longyao,37.35,114.75,758.6837003527245
