updateTime,cityName,city_confirmedCount,city_curedCount,city_suspectedCount,provinceName,city_confirmedCount_increase
2020/1/24,万宁,2,0,0,海南省,
2020/1/24,三亚,2,0,0,海南省,
2020/1/24,三明,0,0,1,福建省,
2020/1/24,三门峡,1,0,0,河南省,
2020/1/24,中卫,1,0,0,宁夏回族自治区,
2020/1/24,中山,2,0,0,广东省,
2020/1/24,临沂,2,0,0,山东省,
2020/1/24,临高县,1,0,0,海南省,
2020/1/24,丽江市,1,0,0,云南省,
2020/1/24,九江,1,0,0,江西省,
2020/1/24,亳州,1,0,0,安徽省,
2020/1/24,仙桃,2,0,0,湖北省,
2020/1/24,佛山,7,0,0,广东省,
2020/1/24,信阳,1,0,0,河南省,
2020/1/24,六安,2,0,0,安徽省,
2020/1/24,兰州,1,0,0,甘肃省,
2020/1/24,北海,6,0,0,广西壮族自治区,
2020/1/24,十堰,1,0,0,湖北省,
2020/1/24,南京,3,0,0,江苏省,
2020/1/24,南昌,2,0,0,江西省,
2020/1/24,南通,1,0,0,江苏省,
2020/1/24,厦门,3,0,0,福建省,
2020/1/24,台州,18,0,0,浙江省,
2020/1/24,合肥,6,0,0,安徽省,
2020/1/24,吉安,1,0,0,江西省,
2020/1/24,吉林,1,0,0,吉林省,
2020/1/24,周口,1,0,0,河南省,
2020/1/24,咸阳,1,0,0,陕西省,
2020/1/24,哈尔滨,1,0,0,黑龙江省,
2020/1/24,嘉兴,3,0,0,浙江省,
2020/1/24,大庆,1,0,0,黑龙江省,
2020/1/24,大连,1,0,0,辽宁省,
2020/1/24,太原,1,0,0,山西省,
2020/1/24,威海,2,0,0,山东省,
2020/1/24,娄底,3,0,0,湖南省,
2020/1/24,孝感,22,0,0,湖北省,
2020/1/24,宁德,1,0,0,福建省,
2020/1/24,宁波,5,0,0,浙江省,
2020/1/24,安庆,1,0,0,安徽省,
2020/1/24,安康,1,0,0,陕西省,
2020/1/24,宜昌,1,0,0,湖北省,
2020/1/24,岳阳,3,0,0,湖南省,
2020/1/24,巩义,2,0,0,河南省,
2020/1/24,广安,2,0,0,四川省,
2020/1/24,广州,7,0,0,广东省,
2020/1/24,延安,1,0,0,陕西省,
2020/1/24,德阳,1,0,0,四川省,
2020/1/24,怀化,3,0,0,湖南省,
2020/1/24,惠州,5,0,0,广东省,
2020/1/24,成都,7,0,0,四川省,
2020/1/24,扬州,1,0,0,江苏省,
2020/1/24,抚州,1,0,0,江西省,
2020/1/24,新余,1,0,0,江西省,
2020/1/24,无锡,1,0,0,江苏省,
2020/1/24,日照,1,0,0,山东省,
2020/1/24,昆明,3,0,0,云南省,
2020/1/24,朝阳,1,0,0,辽宁省,
2020/1/24,杭州,6,0,0,浙江省,
2020/1/24,松原,1,0,0,吉林省,
2020/1/24,柳州,2,0,0,广西壮族自治区,
2020/1/24,株洲,1,0,0,湖南省,
2020/1/24,桂林,2,0,0,广西壮族自治区,
2020/1/24,梧州,1,0,0,广西壮族自治区,
2020/1/24,武汉,495,31,0,湖北省,
2020/1/24,永州,4,0,0,湖南省,
2020/1/24,池州,1,0,0,安徽省,
2020/1/24,沈阳,2,0,0,辽宁省,
2020/1/24,沧州,1,0,0,河北省,
2020/1/24,河池,1,0,0,广西壮族自治区,
2020/1/24,泉州,1,0,0,福建省,
2020/1/24,洛阳,1,0,0,河南省,
2020/1/24,济南,2,0,0,山东省,
2020/1/24,济宁,1,0,0,山东省,
2020/1/24,海口,3,0,0,海南省,
2020/1/24,深圳,15,2,0,广东省,
2020/1/24,清远,1,0,0,广东省,
2020/1/24,温州,6,1,0,浙江省,
2020/1/24,湘潭,1,0,0,湖南省,
2020/1/24,湛江,2,0,0,广东省,
2020/1/24,滁州,1,0,0,安徽省,
2020/1/24,满洲里,1,0,0,内蒙古自治区,
2020/1/24,漳州,0,0,1,福建省,
2020/1/24,潍坊,1,0,0,山东省,
2020/1/24,烟台,2,0,0,山东省,
2020/1/24,牡丹江,1,0,0,黑龙江省,
2020/1/24,珠海,8,0,0,广东省,
2020/1/24,白银,1,0,0,甘肃省,
2020/1/24,百色,1,0,0,广西壮族自治区,
2020/1/24,石家庄,1,0,0,河北省,
2020/1/24,福州,5,0,0,福建省,
2020/1/24,绍兴,1,0,0,浙江省,
2020/1/24,绥化,1,0,0,黑龙江省,
2020/1/24,绵阳,2,0,0,四川省,
2020/1/24,肇庆,1,0,0,广东省,
2020/1/24,舟山,1,0,0,浙江省,
2020/1/24,苏州,2,0,0,江苏省,
2020/1/24,荆州,8,0,0,湖北省,
2020/1/24,荆门,8,0,0,湖北省,
2020/1/24,萍乡,1,0,0,江西省,
2020/1/24,蚌埠,1,0,0,安徽省,
2020/1/24,衢州,2,0,0,浙江省,
2020/1/24,西双版纳州,1,0,0,云南省,
2020/1/24,西安,2,0,0,陕西省,
2020/1/24,贵阳,1,0,0,贵州省,
2020/1/24,达州,1,0,0,四川省,
2020/1/24,连云港,1,0,0,江苏省,
2020/1/24,遂宁,1,0,0,四川省,
2020/1/24,郑州,3,0,0,河南省,
2020/1/24,郴州,1,0,0,湖南省,
2020/1/24,金华,1,0,0,浙江省,
2020/1/24,铜仁,1,0,0,贵州省,
2020/1/24,银川,1,0,0,宁夏回族自治区,
2020/1/24,长春,1,0,0,吉林省,
2020/1/24,长沙,8,0,0,湖南省,
2020/1/24,阜阳,2,0,0,安徽省,
2020/1/24,阳江,3,0,0,广东省,
2020/1/24,雅安,1,0,0,四川省,
2020/1/24,青岛,4,0,0,山东省,
2020/1/24,韶关,3,0,0,广东省,
2020/1/24,黄冈,12,0,0,湖北省,
2020/1/24,黔南州,1,0,0,贵州省,
2020/1/25,万宁,5,0,0,海南省,3
2020/1/25,三亚,6,0,0,海南省,4
2020/1/25,三明,1,0,0,福建省,1
2020/1/25,三门峡,1,0,0,河南省,0
2020/1/25,上饶,2,0,0,江西省,
2020/1/25,东莞,1,0,0,广东省,
2020/1/25,中卫,1,0,0,宁夏回族自治区,0
2020/1/25,中山,2,0,0,广东省,0
2020/1/25,临夏,1,0,0,甘肃省,
2020/1/25,临沂,3,0,0,山东省,1
2020/1/25,临高县,1,0,0,海南省,0
2020/1/25,丽江市,2,0,0,云南省,1
2020/1/25,乌鲁木齐,3,0,0,新疆维吾尔自治区,
2020/1/25,九江,2,0,0,江西省,1
2020/1/25,亳州,4,0,0,安徽省,3
2020/1/25,仙桃,10,0,0,湖北省,8
2020/1/25,佛山,9,0,0,广东省,2
2020/1/25,保定,1,0,0,河北省,
2020/1/25,信阳,5,0,0,河南省,4
2020/1/25,儋州,3,0,0,海南省,
2020/1/25,六安,2,0,0,安徽省,0
2020/1/25,兰州,2,0,0,甘肃省,1
2020/1/25,内江,1,0,0,四川省,
2020/1/25,北海,6,0,0,广西壮族自治区,0
2020/1/25,十堰,5,0,0,湖北省,4
2020/1/25,南京,4,0,0,江苏省,1
2020/1/25,南昌,3,0,0,江西省,1
2020/1/25,南通,1,0,0,江苏省,0
2020/1/25,南阳,8,0,0,河南省,
2020/1/25,厦门,3,0,0,福建省,0
2020/1/25,台州,20,0,0,浙江省,2
2020/1/25,合肥,10,0,0,安徽省,4
2020/1/25,吉安,1,0,0,江西省,0
2020/1/25,吉林,2,0,0,吉林省,1
2020/1/25,周口,4,0,0,河南省,3
2020/1/25,呼伦贝尔,1,0,0,内蒙古自治区,
2020/1/25,咸阳,3,0,0,陕西省,2
2020/1/25,哈尔滨,6,0,0,黑龙江省,5
2020/1/25,商洛,1,0,0,陕西省,
2020/1/25,嘉兴,4,0,0,浙江省,1
2020/1/25,固原,1,0,0,宁夏回族自治区,
2020/1/25,固始县,1,0,0,河南省,
2020/1/25,大同,1,0,0,山西省,
2020/1/25,大庆,1,0,0,黑龙江省,0
2020/1/25,大理,1,0,0,云南省,
2020/1/25,大连,4,0,0,辽宁省,3
2020/1/25,天门,3,0,0,湖北省,
2020/1/25,太原,2,0,0,山西省,1
2020/1/25,威海,3,0,0,山东省,1
2020/1/25,娄底,5,0,0,湖南省,2
2020/1/25,孝感,26,0,0,湖北省,4
2020/1/25,宁德,2,0,0,福建省,1
2020/1/25,宁波,6,0,0,浙江省,1
2020/1/25,安庆,4,0,0,安徽省,3
