updateTime,country_confirmedCount,country_curedCount,country_suspectedCount,country_confirmedCount_increase,country_curedCount_increase,R0
2020-01-24,866,35,1072.0,,,2.7160873236316485
2020-01-25,1324,40,1965.0,458.0,5.0,2.8165170566148645
2020-01-26,2019,49,2684.0,695.0,9.0,2.8734804691025455
2020-01-27,2838,59,5794.0,819.0,10.0,2.9852477437190537
2020-01-28,4601,73,6973.0,1763.0,14.0,3.024728365153371
2020-01-29,6067,119,9239.0,1466.0,46.0,3.0519062899024694
2020-01-30,8122,141,12167.0,2055.0,22.0,3.079315025157985
2020-01-31,9782,223,15238.0,1660.0,82.0,3.0853451062320163
2020-02-01,11870,277,17988.0,2088.0,54.0,3.0841752698403466
2020-02-02,14458,442,19544.0,2588.0,165.0,3.073103204349861
2020-02-03,17307,528,21558.0,2849.0,86.0,3.062645766311254
2020-02-04,20492,719,23214.0,3185.0,191.0,3.0488674166894545
2020-02-05,24358,1024,23260.0,3866.0,305.0,3.0296090871712478
2020-02-06,28087,1371,24702.0,3729.0,347.0,3.0132366975416542
2020-02-07,31194,1748,26359.0,3107.0,377.0,2.9927077385960947
2020-02-08,34602,2377,27657.0,3408.0,629.0,2.971440760528746
2020-02-09,37212,2895,,2610.0,518.0,
