updateTime,country_confirmedCount,country_curedCount,country_suspectedCount,country_confirmedCount_increase,country_curedCount_increase,hubei_confirmedCount_increase,hubei_curedCount_increase,withouthubei_confirmedCount_increase,Hubei_confirmedCount,withouthubei_confirmedCount
2020/1/24,866,35,2,,,,,,549,317
2020/1/25,1324,40,20,458,5,181,1,277,730,594
2020/1/26,2019,49,1,695,9,328,10,367,1058,961
2020/1/27,2838,59,0,819,10,365,5,454,1423,1415
2020/1/28,4601,73,0,1763,14,1291,5,472,2714,1887
2020/1/29,6067,119,0,1466,46,840,35,626,3554,2513
2020/1/30,8122,141,0,2055,22,1349,3,706,4903,3219
2020/1/31,9782,223,0,1660,82,903,51,757,5806,3976
2020/2/1,11870,277,0,2088,54,1347,27,741,7153,4717
2020/2/2,14458,442,1,2588,165,1921,99,667,9074,5384
2020/2/3,17307,528,0,2849,86,2103,33,746,11177,6130
2020/2/4,20492,719,2,3185,191,2345,98,840,13522,6970
2020/2/5,24358,1024,2,3866,305,3156,139,710,16678,7680
2020/2/6,28087,1371,0,3729,347,2987,175,742,19665,8422
2020/2/7,31194,1748,166,3107,377,2447,155,660,22112,9082
2020/2/8,34602,2377,0,3408,629,2841,351,567,24953,9649
2020/2/9,37212,2895,23941,2610,518,2147,262,463,27100,10112
