city,a,b
万宁,0.0010368860015012027,0.007123063404305241
三亚,0.007117043965357173,-0.038613545190219645
三明,0.0002653299969819223,0.008596163525030898
三门峡,-0.00858016600798428,0.11985506147472336
中卫,-0.012238437187925388,0.18783926798794193
中山,-0.0006857791202248276,0.06039962633844387
临沂,-0.0014059637972035045,0.0531019442952109
九江,-0.013657499972840048,0.22484423567056655
亳州,-0.004351694647636295,0.12359757713398978
仙桃,-0.011815712266754172,0.23145954189623905
佛山,-0.00713384060502209,0.1287332555669327
信阳,-0.009493256564151897,0.1888069457352305
六安,-0.007073582535565448,0.17441128839217157
兰州,-0.009413344701648344,0.15273163744435506
北海,-0.008630462871110689,0.14040044625065728
十堰,-0.007434964363100205,0.15259983877707328
南京,-0.007235242762722357,0.1459793915130875
南昌,-0.01363662305300073,0.23033965009646495
南通,-0.010475095255887634,0.1896461767546661
厦门,-0.015250051550926624,0.23560858934795037
台州,-0.010949376469620242,0.17056271958780955
合肥,-0.00519107078529135,0.11966374235350448
吉安,-0.01642033786208197,0.2511513818262504
周口,-0.00968039292372369,0.15801428983375565
咸阳,-0.007696309444411131,0.1445127490569844
哈尔滨,-0.012697251024636369,0.24938272198482314
嘉兴,0.002600055651411415,0.010935827119394559
外地来京人员,-1.3810883580545052e-05,0.03912547885547857
大庆,-0.008469043687678483,0.14232452455711275
大连,-0.013275576040805204,0.20787468847266666
太原,0.0001870368106133835,0.062213435633100445
威海,-0.007629975668162148,0.1299779179184084
娄底,-0.008315695533739786,0.16209258802851279
孝感,-0.005856604678275756,0.15581810279307584
宁德,0.0031592763621104414,0.006001149439823994
宁波,-0.01182903203187929,0.2112276137434679
安庆,-0.014649484911456456,0.2457638374932708
安康,-0.0061583106306031254,0.10548174723876491
宜昌,-0.021219961966331136,0.34161584962005154
岳阳,-0.008653298480183258,0.16642593458170907
广安,-0.01355649363478717,0.21498888377746794
广州,-0.011999650374017845,0.2025426593956644
延安,-0.012054965936754147,0.17621283064034243
德阳,-0.020030961330323793,0.30607506524582945
怀化,-0.005916268013987267,0.09761218324815844
惠州,-0.0022781277212714965,0.07673544151629218
成都,-0.002245468508457405,0.058528917719607096
扬州,-0.00780956137471059,0.13100734341815756
抚州,-0.00716353672349623,0.16278108761899487
新余,-0.0184033793858025,0.30925905098105333
无锡,-0.0065103415370661045,0.13624263370428913
日照,-0.005384706133876094,0.09005112350114064
昆明,-0.007943890312333002,0.13060692228918924
朝阳,0.027427884283039994,-0.3903348899115986
杭州,-0.008718980187798651,0.14700870168178806
松原,0.0,0.0
柳州,-0.006286232106569534,0.1155661204894608
株洲,-0.002422765265225335,0.08312716849732427
桂林,-0.0036009759732793523,0.06755574995762414
梧州,-0.004845500652595147,0.0689137870259332
武汉,-0.0024055028445797433,0.1147438463422451
永州,-0.004686430005940397,0.10780245176685316
池州,-0.022736362215335707,0.35649844396818153
沈阳,-0.00752659916089593,0.13918591900380017
沧州,-0.005931164885600637,0.10889620676779499
河池,0.0032679682518673703,0.01789530819852936
泉州,-0.012325918994066987,0.18923438844948393
洛阳,-0.01364217564864667,0.278406478607805
济南,-0.000907849508576598,0.06562978296235751
济宁,-0.008340179246844937,0.18192534610706623
海口,0.002841254751739797,0.009717811041647484
深圳,-0.012193460253314692,0.20636830762540825
清远,0.0004993870541104561,0.018657216390860487
温州,-0.00807743965060026,0.1439135374419418
湘潭,-0.008788067847260717,0.1586021317287133
湛江,-0.004269630466991803,0.08409672877214114
滁州,-0.010886875231794102,0.17945724651219797
漳州,-0.00903927519445924,0.14621477937736604
潍坊,0.0019624396919446937,0.05170516545289807
烟台,-0.004913367800657875,0.10323269439451388
牡丹江,-0.03226452732840723,0.49582200524050113
珠海,-0.011294981636333024,0.1917340391231931
白银,0.03440342807377794,-0.2608926629115409
百色,0.008804562950621708,-0.08608905998513583
石家庄,-0.003537881309822133,0.08163414438657368
福州,-0.007788577728527368,0.12889389871633705
绍兴,-0.0031034862675766864,0.06495776026659068
绥化,0.0006211777075659786,0.059076019141123925
绵阳,-0.007184420195176067,0.12258668715425769
肇庆,-0.004920651018444522,0.10579939915526948
舟山,-0.002603486262488804,0.03620085660398514
苏州,-0.0047927946255708065,0.10880433676989953
荆州,-0.014529948082305186,0.2629348383830628
荆门,-0.005110183663942891,0.1185173304932221
萍乡,-0.025795828964759737,0.39242193785053503
蚌埠,-0.015755302099021984,0.31663818835774293
衢州,-0.007507343228934982,0.11031043516807626
西安,-0.010336930844669023,0.18800608595730617
贵阳,-0.01911343269927146,0.35116475757021615
达州,-0.00404439165203363,0.11795146367242726
连云港,-0.013984508537662421,0.24585891611442867
遂宁,-0.0006894520506444124,0.030571942776763894
郑州,-0.0023822610117654186,0.07543831679774282
郴州,-0.008209953376183243,0.15535760285601674
金华,-0.011007920408921956,0.17932405741515867
铜仁,-0.01037745353833018,0.17350052745010733
银川,-0.0103188281203201,0.18117429666652932
长春,-0.02490753546719926,0.3918234769306169
长沙,-0.01050439258375313,0.18648315295106932
阜阳,-0.009607694654648613,0.18038419826768115
阳江,0.0011587368731280634,-0.0012444700273233078
雅安,-0.016620743428868153,0.24594049540950327
青岛,0.001281322419460218,0.02616187454377672
韶关,-0.0032303337691235168,0.05832970065180032
黄冈,-0.012760963593101669,0.22551473697777455
黔南州,0.00011700571241435309,0.025600159054545935
上饶,-0.013586792333954989,0.2631155468309485
东莞,-0.013111492091614885,0.2202888226773725
临夏,-0.006288973539898324,0.09433460306357677
乌鲁木齐,0.0038965843340641234,0.004513367146678117
保定,-0.005046922751132499,0.09574298221958799
儋州,-0.0032343316838654435,0.07669843085473427
内江,-0.017854557859167564,0.2599580621209171
南阳,-0.005004624731738572,0.09882400402409086
呼伦贝尔,-0.008755000789361755,0.1582508430420343
商洛,0.00019018077792165577,0.06582142657057821
固原,-0.010751071275918678,0.13259654570725143
大同,-0.012397460763887702,0.1807563799471107
大理,-0.0008802886553731515,0.050365634650427316
天门,-0.007506237538616789,0.1436619620825672
宜春,-0.006388659248379502,0.13447786592848365
宿迁,-0.009142096902963913,0.14210476937611466
常州,-0.00144218873762747,0.06596225368816244
常德,-0.0035275824513001375,0.07427054229836272
平顶山,-0.009383876882037567,0.19535151750148416
德州,0.0004041396826139909,0.027028345859735237
恩施州,-0.006182581509714735,0.11272015791392587
承德,0.010753225061381766,-0.058443032257164074
新乡,-0.012733917541792488,0.20269012464051714
景德镇,-0.0036868449842521814,0.06939111239759332
曲靖,-0.002408413883198124,0.0687748995174563
本溪,0.0,0.0
汕头,-0.002651611715774216,0.06523570847058058
泸州,-0.00045675203878015047,0.060881676513060534
滨州,-0.004201970340681188,0.0592164308826962
玉林,-0.021310110791249604,0.29546273303864673
玉溪,-0.013447631126753014,0.19651437807773336
益阳,-0.007890800572104784,0.1335770734267615
盐城,-0.014955652241099848,0.20823305223421862
红河,-0.004614762532508546,0.06114560354118631
聊城,0.0089681209499823,-0.02797715474318658
自贡,-0.0030317908195509613,0.03941328062363003
芜湖,0.00032426511037975114,0.03326313576781692
菏泽,-0.000962247449898479,0.044937235506763984
葫芦岛,0.0017362837915851914,0.020017633924844902
衡阳,-0.006044320406920711,0.1031016043452202
襄阳,-0.014952344692360509,0.24139884468312567
赣州,-0.0020520944811810438,0.07298145162103797
赤峰,0.009533154070424321,-0.07200252237905547
运城,-0.010365602956596387,0.15953703067592062
邵阳,-0.004667484555297419,0.10207654906094177
鄂尔多斯,-0.020528867027841846,0.2973722016971937
鄂州,-0.005726173753584529,0.12881938392562464
铁岭,-0.0014209034035004287,0.028883305599022302
铜川,-0.0036522245764931682,0.06751558043445327
铜陵,-0.004234889173136747,0.07928929797292839
长治,0.011982281729173372,-0.10397647805737509
防城港,-0.0052670436218016144,0.10795321802677321
随州,-0.015380207061676199,0.2575959072264311
马鞍山,-0.01859065444147645,0.2481744381418558
驻马店,-0.009370902591192332,0.1771704232405814
黄石,-0.010656706937560934,0.20305248939120824
丹东,-0.002827901646745401,0.04444128070422004
丽水,-0.019112774676257382,0.24694060535216866
丽江,-0.003984927956392825,0.050210092220887015
乐山,0.012577947073252327,-0.11320152368108238
伊犁州,-0.006412563972380436,0.10918463252106991
保山,-0.0008083461348100673,0.022148774311549824
南充,-0.01664570226365658,0.22435950692376339
南宁,-0.008757279926829398,0.14053102052793864
南平,-0.01903586424898962,0.2639720322213186
咸宁,-0.009944916948979933,0.16139157132964618
定西,0.013784195056916193,-0.0921081707370428
宣城,0.0034610718909712235,-0.02422750325424672
宿州,-0.016841079722394504,0.23765047433289016
德宏,-0.010897901455367842,0.14562013085153702
揭阳,0.0023909567703457313,-0.016736697409866164
昭通,-0.006435803719347488,0.10030759128139888
晋中,-0.007328572009821732,0.14271221828648428
梅州,-0.007884912693451929,0.13363159464605945
汉中,-0.004982294376450813,0.08505431371871286
泰州,-0.010254056626236352,0.15453564279271392
淮北,-0.01920456665648218,0.3154997903968204
淮南,0.009132031100341886,-0.030151567840094762
淮安,-0.007826866338294991,0.1632664722441255
湖州,-0.009854286925187195,0.13791090654563565
湘西自治州,0.0013143802795296,0.007160743395294615
甘孜州,0.0035148345694464567,0.037262379287550385
盘锦,-0.007882830137660887,0.1263264640913269
眉山,-0.013396990526653108,0.21494448185011128
莆田,-0.007734366606596111,0.12393145832514728
营口,0.0,0.0
西双版纳,-0.002483007592130715,0.04115737105987882
锡林郭勒盟,0.0,0.0
镇江,-0.003751840934994144,0.13630049762075624
阳泉,-0.0062889735523813176,0.1551872792659034
黄山,0.0,0.0
黔西南州,-0.009603215253600528,0.1856944743052985
齐齐哈尔,-0.004224897800152894,0.2309426154532186
七台河,-0.004772889577137729,0.09639960402002223
临汾,0.025802571068738994,-0.22075533027776256
佳木斯,0.00405928227402963,-0.03053068604426956
六盘水,-0.0017184069238573851,0.026268969089627614
兴安盟,0.0,-5e-324
包头,-0.011905150026910949,0.18055963081315796
双鸭山,-0.030718393936477503,0.48610983472996844
吕梁,0.0022623213134713716,-0.010557499475237764
商丘,-0.014377682026353396,0.2028706300596837
外地来沪人员,-0.0007918951499277238,0.02538957931129837
宜宾,0.006041414692684377,-0.04524410939405277
廊坊,0.011105729269294139,-0.08007808403993323
开封,-0.005139535920014705,0.11049763687132731
张掖,0.0,-5e-324
徐州,-0.009614153503379942,0.1431283817390989
朔州,0.0048156198592913535,-0.019958038054211036
枣庄,-0.0006558752478900143,0.03147615694400574
汕尾,-0.0073836200409060915,0.08829578962757056
淄博,-0.0017803234986352686,0.04080117499522795
渭南,-0.003459233632764347,0.08334068157069607
潜江,-0.005823776434451742,0.12596274735324872
许昌,-0.011375917458630758,0.17758186231766626
资阳,0.013416476878281514,-0.12130731179636745
通辽,0.03921904793525077,-0.34206264195043734
邢台,-0.010448085796246565,0.15411270913857822
陇南,-0.009519141839024359,0.1138330711300668
鹤壁,0.00036746236787821296,0.04066685258316849
